dateTime_UTC,ax,ay,az,gx,gy,gz,Actividades
1999-01-15 09:29:37.891300,3.3098,-4.9112,6.8913,-110.79,16.43,-9.37,
1999-01-15 09:29:37.960300,3.6078,-4.0076,7.0331,-46.59,-24.76,-45.35,
1999-01-15 09:29:38.029300,4.0907,-5.4641,5.7597,-77.51,-52.97,-41.4,
1999-01-15 09:29:38.098300,8.0331,-7.0074,6.2306,-95.19,-50.6,-32.11,
1999-01-15 09:29:38.167300,7.1031,-7.0505,-3.9908,-177.82,-68.34,14.61,
1999-01-15 09:29:38.236200,8.3508,-7.1372,4.5024,-122.61,-59.12,11.15,
1999-01-15 09:29:38.305200,6.5179,-6.9793,2.5785,-71.25,-84.8,-29.06,
1999-01-15 09:29:38.374200,7.5902,-6.4742,-0.5212,-48.26,-91.8,16.51,
1999-01-15 09:29:38.443200,5.6502,-7.4502,-0.4686,-29.9,-70.36,-39.73,
1999-01-15 09:29:38.512200,7.3138,-6.0733,-2.1357,-32.07,-77.27,-29.46,
1999-01-15 09:29:38.581200,11.0185,-2.1489,-4.454,-26.92,-77.58,-19.86,
1999-01-15 09:29:38.650200,5.6562,-8.8607,2.6234,42.61,-73.87,46.67,
1999-01-15 09:29:38.719200,5.2068,-6.0374,-2.9962,-28.71,-70.74,24.25,
1999-01-15 09:29:38.788200,7.829,-4.3349,-4.3121,-57.15,-72.13,19.83,
1999-01-15 09:29:38.857200,5.7872,-6.783,-6.3533,-54.85,-36.72,10.51,
1999-01-15 09:29:38.926200,5.4653,-6.2995,-4.7209,-40.16,-63.16,-23.3,
1999-01-15 09:29:38.995200,5.1134,-4.5563,-7.0505,-22.34,-63.66,-42.46,
1999-01-15 09:29:39.064100,6.9242,-5.7956,-6.032,-21.28,-72.85,-28.64,
1999-01-15 09:29:39.133100,3.4271,-5.2133,-9.1712,-33.3,-80.99,-38.61,
1999-01-15 09:29:39.202100,9.6176,-4.0309,-9.3543,-38.01,-102.26,-37.89,
1999-01-15 09:29:39.271100,4.962,-4.4677,-8.5932,-2.13,-58.34,-25.93,
1999-01-15 09:29:39.340100,6.2887,-2.9801,-10.0904,73.12,-28.5,0.06,
1999-01-15 09:29:39.409100,1.0466,-4.3648,-7.5106,27.36,-53.03,-63.66,
1999-01-15 09:29:39.478100,2.6492,-3.1249,-8.3879,18.97,-7.28,-59.38,
1999-01-15 09:29:39.547100,3.8125,-3.764,-7.9828,-34.25,44.14,-48.82,
1999-01-15 09:29:39.616100,4.2858,-2.2369,-8.4633,-5.64,114.42,4.71,
1999-01-15 09:29:39.685100,4.5575,-3.0746,-3.8137,67.26,100.22,103.79,
1999-01-15 09:29:39.754100,4.8471,-6.5083,-9.2317,8.12,-39.07,63.56,
1999-01-15 09:29:39.823100,4.3355,-3.6581,-10.003,63.25,-9.42,31.38,
1999-01-15 09:29:39.892000,3.7646,-4.8806,-6.9338,50.71,-21.85,-75.98,
1999-01-15 09:29:39.961000,4.5072,-4.3307,-8.2443,-88.71,-101.9,-60.03,
1999-01-15 09:29:40.030000,5.0434,-3.3092,-10.4195,-23.58,-32.45,-32.75,
1999-01-15 09:29:40.099000,3.6222,-3.4427,-7.689,-3.45,-3.53,-6.83,
1999-01-15 09:29:40.168000,3.2141,-3.0268,-9.4285,-7.1,-17.86,5.96,
1999-01-15 09:29:40.237000,2.1639,-1.9077,-9.0138,16.57,-8.72,-10.76,
1999-01-15 09:29:40.306000,4.7651,-5.0991,-10.1083,73.26,-20.2,10.9,
1999-01-15 09:29:40.375000,6.3228,-4.3696,-5.874,75.0,20.18,36.57,
1999-01-15 09:29:40.444000,0.4273,-5.1697,-5.202,63.25,83.2,10.89,
1999-01-15 09:29:40.513000,1.8599,-5.0973,-5.6209,84.19,138.31,20.13,
1999-01-15 09:29:40.582000,4.8334,-7.2485,-5.7902,73.65,113.52,64.1,
1999-01-15 09:29:40.650900,3.0531,-6.7758,-2.8454,88.69,106.94,81.39,
1999-01-15 09:29:40.719900,4.5479,-10.9689,-1.8976,140.0,102.43,114.21,
1999-01-15 09:29:40.788900,2.0053,-8.9265,0.3961,131.52,108.36,119.37,
1999-01-15 09:29:40.857900,1.1166,-10.7732,2.0579,90.73,81.83,102.87,
