dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-15 09:29:36.0975,2.627,-1.1166,8.9181,9.54,5.3,3.46
1999-01-15 09:29:36.1665,2.7629,-0.9634,9.188,13.78,5.53,9.04
1999-01-15 09:29:36.2355,2.3105,-1.2608,9.2897,37.19,-7.82,4.93
1999-01-15 09:29:36.3045,2.4433,-1.2644,10.088,18.1,-20.76,22.33
1999-01-15 09:29:36.3735,3.1907,0.1711,8.6153,20.13,-7.25,42.46
1999-01-15 09:29:36.4425,3.0441,-0.0928,9.0623,21.77,-0.16,27.83
1999-01-15 09:29:36.5115,2.7078,-0.1909,9.2766,4.82,16.9,20.87
1999-01-15 09:29:36.5805,2.3464,-0.4219,8.7996,0.37,11.57,-1.93
1999-01-15 09:29:36.6494,2.4391,-0.4949,9.8067,-5.14,7.54,-19.98
1999-01-15 09:29:36.7184,2.7084,-0.2202,9.2855,-10.67,8.36,-12.91
1999-01-15 09:29:36.7874,2.1974,-0.5535,9.2981,-9.16,4.82,-10.44
1999-01-15 09:29:36.8564,2.3033,-0.4871,9.1401,-5.2,3.92,-4.91
1999-01-15 09:29:36.9254,2.5498,-0.5242,9.5153,-3.21,-2.42,-7.45
1999-01-15 09:29:36.9944,2.8071,-0.1293,9.0934,-3.12,-9.86,-15.37
1999-01-15 09:29:37.0634,2.7168,-0.3782,8.6859,-20.36,-12.16,-32.78
1999-01-15 09:29:37.1324,2.4972,-1.2638,9.4902,-19.78,1.89,-30.97
1999-01-15 09:29:37.2014,2.8706,-1.5595,9.3388,-33.02,-3.23,-39.93
1999-01-15 09:29:37.2704,2.9005,-1.5924,9.5141,-19.09,-8.63,-31.15
1999-01-15 09:29:37.3394,3.25,-1.788,9.352,-27.51,-6.62,-15.78
1999-01-15 09:29:37.4083,2.6719,-2.35,9.1323,-8.97,-4.9,1.24
1999-01-15 09:29:37.4773,3.5629,-0.9958,8.6871,21.27,-13.31,4.3
1999-01-15 09:29:37.5463,4.0835,-1.1023,8.8804,15.72,-8.44,8.44
1999-01-15 09:29:37.6153,4.4653,-2.0406,8.3023,-11.82,-2.37,12.05
1999-01-15 09:29:37.6843,3.1644,-2.4367,9.5554,-21.16,13.26,6.79
1999-01-15 09:29:37.7533,4.2332,-2.3009,8.2467,-32.01,-1.62,-2.64
1999-01-15 09:29:37.8223,4.8375,-3.831,7.288,-86.14,-24.75,-18.17
1999-01-15 09:29:37.8913,3.3098,-4.9112,6.8913,-110.79,16.43,-9.37
