dateTime_UTC,ax,ay,az,gx,gy,gz
1999-01-02 04:00:06.5720,-0.228,-0.5745,-10.0772,0.07,2.26,0.74
1999-01-02 04:00:06.6410,-0.2298,-0.5733,-10.0563,-0.07,2.41,0.81
1999-01-02 04:00:06.7100,-0.2418,-0.5721,-10.097,0.13,2.2,0.75
1999-01-02 04:00:06.7790,-0.2322,-0.5799,-10.0706,0.19,2.35,0.74
1999-01-02 04:00:06.8480,-0.2328,-0.5834,-10.0665,0.37,2.07,0.51
1999-01-02 04:00:06.9170,-0.2352,-0.5787,-10.088,0.35,2.23,0.79
1999-01-02 04:00:06.9860,-0.2477,-0.5823,-10.1095,0.25,2.29,0.74
1999-01-02 04:00:07.0550,-0.2328,-0.5697,-10.0694,0.08,2.3,0.8
1999-01-02 04:00:07.1240,-0.2244,-0.5751,-10.0838,0.11,2.14,0.62
1999-01-02 04:00:07.1930,-0.2388,-0.5805,-10.0671,0.06,2.35,0.5
1999-01-02 04:00:07.2619,-0.2274,-0.5673,-10.0874,0.21,2.27,0.56
1999-01-02 04:00:07.3309,-0.2316,-0.5721,-10.0916,0.35,2.22,0.52
1999-01-02 04:00:07.3999,-0.2286,-0.5769,-10.0623,0.1,2.14,0.69
1999-01-02 04:00:07.4689,-0.2262,-0.5775,-10.076,0.13,2.01,0.72
1999-01-02 04:00:07.5379,-0.2316,-0.5709,-10.0694,0.13,2.26,0.88
1999-01-02 04:00:07.6069,-0.2304,-0.5673,-10.085,-0.12,2.4,0.7
1999-01-02 04:00:07.6759,-0.2376,-0.5745,-10.0928,0.2,2.4,0.58
1999-01-02 04:00:07.7449,-0.2304,-0.5649,-10.0814,0.17,2.22,0.57
1999-01-02 04:00:07.8139,-0.2328,-0.5775,-10.0509,0.09,2.24,0.6
1999-01-02 04:00:07.8829,-0.2286,-0.5751,-10.085,0.25,2.38,0.6
1999-01-02 04:00:07.9519,-0.2304,-0.5667,-10.0838,-0.06,2.28,0.46
1999-01-02 04:00:08.0209,-0.237,-0.5739,-10.0641,0.05,2.17,0.66
1999-01-02 04:00:08.0899,-0.2298,-0.5811,-10.0844,0.14,2.13,0.66
1999-01-02 04:00:08.1589,-0.231,-0.5673,-10.0449,0.2,2.18,0.69
1999-01-02 04:00:08.2279,-0.2208,-0.5667,-10.0922,0.21,2.13,0.58
1999-01-02 04:00:08.2968,-0.2471,-0.5613,-10.0682,0.04,2.21,0.57
1999-01-02 04:00:08.3658,-0.2298,-0.5763,-10.0617,-0.15,2.26,0.8
1999-01-02 04:00:08.4348,-0.2322,-0.5799,-10.0964,-0.04,2.28,0.74
1999-01-02 04:00:08.5038,-0.2358,-0.5709,-10.1287,0.18,2.29,0.79
1999-01-02 04:00:08.5728,-0.2459,-0.5745,-10.1245,-0.08,2.4,0.79
1999-01-02 04:00:08.6418,-0.2286,-0.5751,-10.0623,0.15,2.18,0.66
1999-01-02 04:00:08.7108,-0.2172,-0.5607,-10.0838,0.32,1.98,0.62
1999-01-02 04:00:08.7798,-0.1604,-0.5715,-10.0294,0.07,1.91,0.57
1999-01-02 04:00:08.8488,-0.2172,-0.5661,-10.0635,0.4,2.29,0.6
1999-01-02 04:00:08.9178,-0.3519,-0.675,-10.1137,0.86,1.33,0.38
1999-01-02 04:00:08.9868,-1.3877,-0.4279,-10.1155,1.13,0.13,-0.04
1999-01-02 04:00:09.0558,-0.538,-0.5523,-10.0868,0.6,1.75,-0.69
1999-01-02 04:00:09.1248,-0.2615,-0.6098,-10.3106,0.04,2.94,-5.3
1999-01-02 04:00:09.1938,-0.0802,-0.5775,-10.0551,-1.4,3.95,-3.61
1999-01-02 04:00:09.2628,-1.5888,-0.5559,-10.9665,7.38,3.84,-10.54
1999-01-02 04:00:09.3317,-0.1448,-0.6822,-10.1502,12.98,7.01,-9.15
1999-01-02 04:00:09.4007,-0.1287,-0.7528,-9.9964,9.38,9.48,-1.52
1999-01-02 04:00:09.4697,-0.3381,-0.9754,-10.1628,7.15,1.34,-1.47
1999-01-02 04:00:09.5387,-0.2501,-1.0125,-10.4991,-5.8,6.71,-9.2
1999-01-02 04:00:09.6077,0.8785,-0.8533,-10.3136,-8.5,-14.42,-0.08
